COURTNAME;COURTNUMBER;COURTADDRESS;COURTPHONE;COURTSITE
АС Алтайского края;А03;"656015, г. Барнаул,
пр. Ленина, д. 76";(3852)29-88-01;http://altai-krai.arbitr.ru/
АС Амурской области;А04;"675023, г. Благовещенск,
ул. Ленина, д. 163";(4162)59-59-00;http://amuras.arbitr.ru/
АС Архангельской области;А05;"163000, г. Архангельск,
ул. Логинова, д.17";(8182)42-09-80;http://arhangelsk.arbitr.ru/
АС Астраханской области;А06;"414014, г. Астрахань,
пр. Губернатора Анатолия Гужвина, д. 6";(8512)48-42-01;http://astrahan.arbitr.ru/
АС Белгородской области;А08;"308000, г. Белгород,
Народный бульвар, д. 135";(4722)35-60-16;http://belgorod.arbitr.ru/
АС Брянской области;А09;"241050, г. Брянск,
пер. Трудовой, д. 6";(4832)77-09-47;http://bryansk.arbitr.ru/
АС Владимирской области;А11;"600025, г Владимир,
Октябрьский проспект, д. 19";"(4922)47-23-41
(4922)47-23-65";http://vladimir.arbitr.ru/
АС Волгоградской области;А12;"400005, г. Волгоград,
ул. 7-й Гвардейской, д. 2";(8442)23-00-78;http://volgograd.arbitr.ru/
АС Вологодской области;А13;"160000, г. Вологда,
ул. Герцена, д. 1а";"(8172)57-08-88
(8172)57-08-00";http://vologda.arbitr.ru/
АС Воронежской области;А14;"394030 Воронеж,
ул. Среднемосковская, 77";"(4732)59-71-81
(4732)52-53-44";http://voronej.arbitr.ru/
АС города Москвы;А40;"115225 Москва,
ул. Большая Тульская, 17";"(495)600-96-64
(495)600-99-53
(495)600-99-52";http://msk.arbitr.ru/
АС города Санкт-Петербурга и Ленинградской области;А56;"191124, Санкт-Петербург,
ул. Смольного, д. 6";(812)643-48-18;http://spb.arbitr.ru/
АС города Севастополя;А84;"299011 , г. Севастополь,
ул. Л. Павличенко, д. 5";(8692)54-34-91;http://sevastopol.arbitr.ru/
АС Еврейской автономной области;А16;"679016 Биробиджан,
пер. Театральный, 10";(426-22)4-07-00;http://eao.arbitr.ru/
АС Забайкальского края;А78;"672002 Чита,
ул. Выставочная, 6";(3022)33-05-01;http://chita.arbitr.ru/
АС Ивановской области;А17;"153022 Иваново,
ул. Б. Хмельницкого, д. 59б";(4932)41-81-07;http://ivanovo.arbitr.ru/
АС Иркутской области;А19;"664025 Иркутск,
бульвар Гагарина, 70";"(395-2)254-200
(395-2)261-709
(395-2)254-109";http://irkutsk.arbitr.ru/
АС Кабардино-Балкарской Республики;А20;"360022, Кабардино-Балкарская Республика, г.Нальчик,
ул.Мечникова, 130а";(8662)77-31-96;http://askb.arbitr.ru/
АС Калининградской области;А21;"236040 Калининград,
ул. Рокоссовского, 2-4";(4012)57-22-22;http://kaliningrad.arbitr.ru/
АС Калужской области;А23;"248000 Калуга,
ул. Ленина, 90";"(4842) 505-992
(4842) 77-20-77
(4842) 505-985";http://kaluga.arbitr.ru/
АС Камчатского края;А24;"683009, Петропавловск-Камчатский,
ул. Академика Курчатова, 2";(415-2)219-200;http://kamchatka.arbitr.ru/
АС Карачаево-Черкесской Республики;А25;"369000 Черкесск,
ул. Ленина, д.9";(8782)26-36-39;http://askchr.arbitr.ru/
АС Кемеровской области;А27;"650000, Кемерово,
ул. Красная, д.8";"(384-2)58-28-70
(384-2)58-43-26";http://kemerovo.arbitr.ru/
АС Кировской области;А28;"610017 Киров,
ул. К.Либкнехта, 102";"(833-2)70-92-11
(833-2)70-91-18";http://kirov.arbitr.ru/
АС Костромской области;А31;"156961 Кострома,
ул. Долматова, 2";"(4942)45-10-31
(4942)31-37-79";http://kostroma.arbitr.ru/
АС Краснодарского края;А32;"350063 Краснодар,
ул. Постовая, 32";"(861)293-81-03
(861)293-81-00
(861)293-00-00";http://krasnodar.arbitr.ru/
АС Красноярского края;А33;"660049 г. Красноярск,
ул. Ленина, д. 1";"(391)226-59-00
(391)226-59-30";http://krasnoyarsk.arbitr.ru/
АС Курганской области;А34;"640002 Курган,
ул. Климова, 62";(352-2)46-64-84;http://kurgan.arbitr.ru/
АС Курской области;А35;"305004 Курск,
ул. К.Маркса, 25";(4712)53-69-36;http://kursk.arbitr.ru/
АС Липецкой области;А36;"398019 Липецк,
пл. Петра Великого, д. 7";"(4742)519-655
(4742)519-606";http://lipetsk.arbitr.ru/
АС Магаданской области;А37;"685000 Магадан,
просп. К.Маркса, 62";(413-2)65-03-80;http://magadan.arbitr.ru/
АС Московской области;А41;"107053 Москва, ГСП-6,
просп. Академика Сахарова, 18";"(499)975-29-46
(499)975-20-51";http://asmo.arbitr.ru/
АС Мурманской области;А42;"183038 Мурманск,
ул. Книповича, 20";(815-2)45-36-18;http://murmansk.arbitr.ru/
АС Нижегородской области;А43;"603082 Нижний Новгород,
Кремль, корп. 9";"(831)439-10-40
(831)439-15-70";http://nnov.arbitr.ru/
АС Новгородской области;А44;"173020, Новгородская область, Великий Новгород,
ул. Большая Московская, 73";(8162)94-51-35;http://novgorod.arbitr.ru/
АС Новосибирской области;А45;"630102 Новосибирск,
ул. Нижегородская, 6";"(383)269-69-90
(383)269-69-91";http://novosib.arbitr.ru/
АС Омской области;А46;"644024 Омск
ул. Учебная, 51";(381-2)31-56-51;http://omsk.arbitr.ru/
АС Оренбургской области;А47;"460024 Оренбург,
ул. Краснознаменная, 56";(353-2)45-30-33;http://orenburg.arbitr.ru/
АС Орловской области;А48;"302000 Орел,
ул. М.Горького, 42";(4862)43-24-44;http://orel.arbitr.ru/
АС Пензенской области;А49;"440000 Пенза,
ул. Кирова, 35/39";(841-2)52-99-09;http://penza.arbitr.ru/
АС Пермского края;А50;"614068 Пермь,
ул. Екатерининская, 177";(342)217-50-00;http://perm.arbitr.ru/
АС Приморского края;А51;"690091, Владивосток,
ул. Октябрьская, д. 27";"(423-2)21-53-76
(423-2)21-54-05";http://primkray.arbitr.ru/
АС Псковской области;А52;"180000 Псков,
ул. Свердлова, 36";(8112)75-29-62;http://pskov.arbitr.ru/
АС ПСП АC Пермского края в г. Кудымкар;А50П;"619000, Пермский край, г. Кудымкар,
ул. Лихачева, д. 45";(34260) 4-87-97;http://www.perm.arbitr.ru/
АС ПСП АС Архангельской обл. в Ненецком АО;А05П;"166000, г. Нарьян-Мар,
ул. Смидовича, д. 4";(81853)4-05-22;http://arhangelsk.arbitr.ru/
АС Республики Адыгея;А01;"385000, Республика Адыгея, г. Майкоп,
ул. Краснооктябрьская, 15";"(8772)52-63-34
(8772)57-16-26";http://adyg.arbitr.ru/
АС Республики Алтай;А02;"649000, Республика Алтай, Горно-Алтайск,
ул. Ленкина, 4";"(388-22)4-76-58
(388-22)4-77-17
(388-22)4-77-03";http://altai.arbitr.ru/
АС Республики Башкортостан;А07;"450057, г. Уфа,
ул. Октябрьской Революции, д. 63а";(347)272-59-60;http://ufa.arbitr.ru/
АС Республики Бурятия;А10;"670000 Улан-Удэ,
ул. Коммунистическая, 52";"(301-2)28-65-02
(301-2)28-65-28";http://buryatia.arbitr.ru/
АС Республики Дагестан;А15;"367009 Махачкала,
ул. Керимова, 7";(872-2)69-49-68;http://mahachkala.arbitr.ru/
АС Республики Ингушетия;А18;"386101 Назрань,
просп. им. Идриса Базоркина, 44";"(873-2)22-40-77
(873-2)22-40-57
(873-2)22-42-71
(873-2)22-71-07";http://ingushetia.arbitr.ru/
АС Республики Калмыкия;А22;"358000 Элиста,
ул. Сусеева,10";"(84722)33166
(84722)4-17-17";http://kalmyk.arbitr.ru/
АС Республики Карелия;А26;"185910 Петрозаводск,
ул. Красноармейская, 24а";"(814-2)79-05-90
(814-2)79-05-91
(814-2)79-05-09";http://karelia.arbitr.ru/
АС Республики Коми;А29;"167982 Сыктывкар,
ул. Орджоникидзе, д.49а";(821-2)30-08-00;http://komi.arbitr.ru/
АС Республики Крым;А83;"295000, г. Симферополь,
ул. А. Невского, д. 29/11";"(3652)550-113
(3652)550-101";http://crimea.arbitr.ru/
АС Республики Марий Эл;А38;"424002 Йошкар-Ола,
Ленинский просп., 40";"(836-2)69-33-42
(836-2)69-33-00";http://mari-el.arbitr.ru/
АС Республики Мордовия;А39;"430030 Саранск,
ул. Полежаева, дом 177";(834-2)24-08-83;http://asrm.arbitr.ru/
АС Республики Саха (Якутия);А58;"677980 Якутск,
ул. Курашова, 28";(411-2)34-05-80;http://yakutsk.arbitr.ru/
АС Республики Северная Осетия-Алания;А61;"362040 Владикавказ,
пл. Свободы, 5";(867-2)53-71-17;http://alania.arbitr.ru/
АС Республики Татарстан;А65;"420107 Казань,
ул.Ново-Песочная, д.40";(843)533-50-00;http://tatarstan.arbitr.ru/
АС Республики Тыва;А69;"667000, Республика Тыва, г. Кызыл,
ул. Кочетова, 91";(394-22)9-65-02;http://tyva.arbitr.ru/
АС Республики Хакасия;А74;"655017 Абакан,
ул.Крылова, 74, а/я 147";"(390-2)29-95-00
(390-2)29-95-02";http://khakasia.arbitr.ru/
АС Ростовской области;А53;"344002 Ростов-на-Дону,
ул. Станиславского, 10/11-13";"(863)282-84-44
(863)282-84-48";http://rostov.arbitr.ru/
АС Рязанской области;А54;"390000 Рязань,
ул. Почтовая, 43/44";(4912)20-95-00;http://ryazan.arbitr.ru/
АС Самарской области;А55;"443045 Самара,
ул. Авроры, 148";"(846)226-56-17
(846)207-55-15";http://samara.arbitr.ru/
АС Саратовской области;А57;"410002, Саратов,
ул.Бабушкин Взвоз, д.1";"(845-2)98-39-39
(845-2)98-39-00";http://saratov.arbitr.ru/
АС Сахалинской области;А59;"693000 Южно-Сахалинск,
пр.Коммунистический, 28";"(4242)46-09-45
(4242)46-09-03";http://sakhalin.arbitr.ru/
АС Свердловской области;А60;"620075 Екатеринбург,
ул. Шарташская, д. 4";"(343)371-42-50
(343)376-10-76";http://ekaterinburg.arbitr.ru/
АС Смоленской области;А62;"214001 Смоленск,
ул. Большая Советская 30/11";"(4812)24-47-72
(4812)24-47-71";http://smolensk.arbitr.ru/
АС Ставропольского края;А63;"355029 Ставрополь,
ул. Мира, 458б";(865-2)20-54-22;http://stavropol.arbitr.ru/
АС Тамбовской области;А64;"392020 Тамбов,
ул. Пензенская, 67/12";(4752)47-70-55;http://tambov.arbitr.ru/
АС Тверской области;А66;"170100, Тверь,
ул. Советская, 23";"(4822)390-255
(4822)390-294
(4822)390-276";http://tver.arbitr.ru/
АС Томской области;А67;"634050 Томск,
пр. Кирова, 10";"(3822)284-083
(3822)284-000
(3822)284-142";http://tomsk.arbitr.ru/
АС Тульской области;А68;"300041, Тула,
Красноармейский проспект, д. 5";(4872)250-800;http://tula.arbitr.ru/
АС Тюменской области;А70;"625052, Тюмень,
ул. Хохрякова, 77";(345-2)25-81-13;http://tumen.arbitr.ru/
АС Удмуртской Республики;А71;"426011, Ижевск,
ул. Ломоносова, 5";"(3412)602-628
(3412)602-643";http://udmurtiya.arbitr.ru/
АС Ульяновской области;А72;"432970 Ульяновск,
ул. Железнодорожная, 14";"(8422)33-46-08
(8422)33-46-09";http://ulyanovsk.arbitr.ru/
АС Хабаровского края;А73;"680030 Хабаровск,
ул. Ленина, 37";"(4212)91-08-31
(4212)91-08-27";http://khabarovsk.arbitr.ru/
АС Ханты-Мансийского автономного округа - Югры;А75;"628011 Ханты-Мансийский автономный округ - ЮГРА,
Ханты-Мансийск, ул. Мира, 27";"(3467)95-88-74
(3467)95-88-71";http://hmao.arbitr.ru/
АС Челябинской области;А76;"454091 Челябинск,
ул. Воровского, 2";(351)225-03-19;http://chel.arbitr.ru/
АС Чеченской Республики;А77;"364024, г. Грозный,
ул. имени Шейха Али Митаева, д. 22 Б";(8712)22-26-32;http://chechnya.arbitr.ru/
АС Чувашской Республики - Чувашии;А79;"428000 Чебоксары,
просп. Ленина, 4";(835-2)62-40-30;http://chuvashia.arbitr.ru/
АС Чукотского автономного округа;А80;"689000 Чукотский АО, г. Анадырь,
ул. Ленина, 9а";(427-22)2-96-00;http://chukotka.arbitr.ru/
АС Ямало-Ненецкого автономного округа;А81;"629007, г. Салехард,
ул. Республики, д. 102";"(34922)5-31-77
(34922)5-31-00";http://yamal.arbitr.ru/
АС Ярославской области;А82;"150999, Ярославль,
просп. Ленина, 28";(485-2)281-182;http://yaroslavl.arbitr.ru/
